id_Produto,Produto
251,"Fonte Cooler Master Nex White 700, 80 Plus, White - 700w"
252,"Fonte Cooler Master V1000 Platinum, 1000W, 80 Plus Platinum, Modular - MPZ-A001-AFBAPV"
253,"Fonte Cooler Master V1100 Platinum Sfx, Full-modular, 80 Plus Platinum, Com Suporte Pcie 5.0 - 1100w"
254,"Fonte Cooler Master V550 Gold Sfx, Full-modular - 550w"
255,"Fonte Cooler Master XG 850 Platinum, 850W, 80 Plus Platinum, Full Modular, PFC Ativo, Bivolt, Preto - MPG-8501-AFBAP-WO"
256,"Fonte Cooler Master XG Platinum Plus 850W, 80 Plus Platinum, PFC Ativo, ARGB, Bivolt, Display Digital, Preto - MPG-8501-AFBAP-XWO"
257,"Fonte Cooler Master XG750 Plus, 750W, 80 Plus Platinum"
258,"Fonte Cooler Master Xg850 Platinum, 850w, 80 Plus Platinum, FULL Modular, PFC Ativo, Mpg-8501-afbap-wo"
259,"Fonte Cooler Master, G600, 80plus Gold - 600W"
260,"Fonte Cooler Master, Xg750, 750w, 80 Plus Platinum, Full Modular"
261,"Fonte Cooler Masterwatt, 550W, 80 Plus Bronze, Semi Modular - MPX-5501-AMAAB-WO"
262,"Fonte Coooler, Master Mwe V2 600w, 80 Plus, Bronze - Mpe-6001-acaab-wo"
263,Fonte Corsair 450W 80 Plus Bronze CX450 - CP-9020120-BR
264,Fonte Corsair 550W 80 Plus White VS550 - CP-9020171
265,Fonte Corsair 600W SF600 Gold CP-9020105-WW
266,Fonte Corsair 750W 80 Plus Gold Semi Modular TX750M CP-9020131
267,"Fonte Corsair ATX CV650, 650W, 80 Plus Bronze, Com Cabo De Força - CP-9020236-BR"
268,"Fonte Corsair ATX CX550F, 550W Real, RGB - CP-9020225-BR"
269,"Fonte Corsair AX Series AX850, 850W, 80 Plus Titanium, Modular - CP-9020151-WW"
270,"Fonte Corsair CV450, 450W, 80 Plus Bronze - CP-9020209-BR"
271,"Fonte Corsair CV450, 450W, 80 Plus Bronze, PFC Ativo - CP-9020209-BR"
272,"Fonte Corsair CV550, 550W, 80 Plus Bronze - CP-9020210-BR"
273,"Fonte Corsair CV550, 550W, 80 Plus Bronze, PFC Ativo, Com Cabo de Força, 12V, Preto - CP-9020210-BR"
274,"Fonte Corsair CV650 ATX, 650W, 80 Plus Bronze - CP-9020211-BR"
275,"Fonte Corsair CV650, 650W, 80 Plus Bronze - CP-9020211-BR"
276,"Fonte Corsair CV650, 650W, 80 Plus Bronze - CP-9020236-BR"
277,"Fonte Corsair CV750 750W, 80 Plus Bronze - CP-9020237-BR"
278,"Fonte Corsair CX450M, 450W, 80 Plus Bronze, Semi Modular - CP-9020101"
279,"Fonte Corsair CX550, 550W, 80 Plus Bronze - CP-9020121"
280,"Fonte Corsair CX550F, 550W, 80 Plus Bronze, Totalmente Modular, RGB - CP-9020216-BR"
281,"Fonte Corsair CX550F, 550W, 80 Plus Bronze, Totalmente Modular, RGB, Branco - CP-9020225-BR"
282,"Fonte Corsair CX650, 650W, 80 Plus Bronze - CP-9020122"
283,"Fonte Corsair CX650M, 650W, 80 Plus Bronze, Semi Modular - CP-9020103"
284,"Fonte Corsair CX650M, 650W, 80 Plus Bronze, Semi Modular, Preto - CP-9020221-BR"
285,"Fonte Corsair CX750, 750W, 80 Plus Bronze, PFC Ativo - CP-9020123"
286,"Fonte Corsair CX750F, 750W, 80 Plus Bronze, Totalmente Modular, RGB - CP-9020218-BR"
287,"Fonte Corsair CX750M, 750W, 80 Plus Bronze, Semi Modular - CP-9020061"
288,"Fonte Corsair CX750M, 750W, 80 Plus Bronze, Semi Modular, Preto - CP-9020222-BR"
289,"Fonte Corsair HX1200, 1200W, 80 Plus Platinum, Modular - CP-9020140"
290,"Fonte Corsair HX1200, 1200W, 80 Plus Platinum, Modular - CP-9020140-NA"
291,"Fonte Corsair HX850, 850W, 80 Plus Platinum, Modular - CP-9020138"
292,"Fonte Corsair HX850i, 850W, 80 Plus Platinum, Modular - CP-9020073-WW"
293,"Fonte Corsair HXi Series (2022), HX1500i, 1500W, 80 Plus Platinum, (Sem Cabo AC) - CP-9020215-WW"
294,"Fonte Corsair Hx1000, 1000W, 80 Plus Platinum, Full Range"
295,"Fonte Corsair Hx1000i Series 1000w, 80 Plus Platinum, Full Modular"
296,"Fonte Corsair Hx1500i - 1500w, 80 Plus Platinum, Modular - Cp-9020215-na"
297,"Fonte Corsair RM1000X, 1000W, 80 Plus Gold, Fully Modular, Bivolt,  Preto - CP-9020201-NA"
298,"Fonte Corsair RM1000X, 1000W, 80 Plus Gold, Modular, Preto - CP-9020201-WW"
299,"Fonte Corsair RM550X, 550W, 80 Plus Gold, Modular - CP-9020177-WW"
300,"Fonte Corsair RM650, 650W, 80 Plus Gold, Modular - CP-9020194"
301,"Fonte Corsair RM650, 650W, 80 Plus Gold, Modular, Preto - CP-9020233-NA"
302,"Fonte Corsair RM650, 650W, 80 Plus Gold, Modular, Preto - CP-9020233-WW"
303,"Fonte Corsair RM650X, 650W, 80 Plus Gold, Modular, Preto - CP-9020198-WW"
